1,1,28
1,2,39
1,3,31
1,4,31
1,5,35
1,6,30
1,7,36
1,8,30
1,9,24
1,10,27
1,11,27
1,12,33
1,13,31
1,14,25
2,1,26
2,2,26
2,3,25
2,4,33
2,5,26
2,6,28
2,7,29
2,8,29
2,9,27
2,10,28
2,11,24
2,12,32
2,13,24
2,14,28
3,1,27
3,2,29
3,3,30
3,4,26
3,5,25
3,6,25
3,7,22
3,8,25
3,9,25
3,10,21
3,11,23
3,12,25
3,13,23
3,14,27
4,1,20
4,2,29
4,3,28
4,4,24
4,5,21
4,6,27
4,7,26
4,8,22
4,9,24
4,10,25
4,11,23
4,12,36
4,13,24
4,14,24
5,1,22
5,2,26
5,3,25
5,4,29
5,5,21
5,6,23
5,7,23
5,8,23
5,9,20
5,10,21
5,11,22
5,12,26
5,13,24
5,14,23
6,1,22
6,2,22
6,3,24
6,4,24
6,5,25
6,6,23
6,7,27
6,8,27
6,9,24
6,10,22
6,11,23
6,12,21
6,13,23
6,14,25
7,1,20
7,2,23
7,3,22
7,4,24
7,5,21
7,6,22
7,7,25
7,8,25
7,9,20
7,10,22
7,11,23
7,12,26
7,13,24
7,14,25
8,1,21
8,2,21
8,3,21
8,4,25
8,5,23
8,6,23
8,7,22
8,8,24
8,9,24
8,10,22
8,11,20
8,12,20
8,13,22
8,14,22
9,1,22
9,2,23
9,3,21
9,4,24
9,5,22
9,6,26
9,7,20
9,8,20
9,9,26
9,10,22
9,11,24
9,12,21
9,13,25
9,14,22
10,1,26
10,2,26
10,3,21
10,4,21
10,5,20
10,6,21
10,7,20
10,8,21
10,9,23
10,10,20
10,11,21
10,12,21
10,13,21
10,14,21
11,1,51
11,2,41
11,3,38
11,4,40
11,5,47
11,6,35
11,7,49
11,8,46
11,9,41
11,10,52
11,11,37
11,12,34
11,13,49
11,14,42
12,1,61
12,2,45
12,3,36
12,4,31
12,5,30
12,6,39
12,7,47
12,8,42
12,9,35
12,10,35
12,11,41
12,12,37
12,13,46
12,14,34
13,1,40
13,2,31
13,3,33
13,4,36
13,5,28
13,6,41
13,7,40
13,8,43
13,9,37
13,10,37
13,11,33
13,12,42
13,13,37
13,14,34
14,1,33
14,2,46
14,3,39
14,4,31
14,5,26
14,6,35
14,7,39
14,8,33
14,9,45
14,10,29
14,11,31
14,12,22
14,13,46
14,14,29
