1,1,26
1,2,29
1,3,32
1,4,27
1,5,24
1,6,29
1,7,30
1,8,31
1,9,27
1,10,36
1,11,26
1,12,25
1,13,26
1,14,26
2,1,30
2,2,28
2,3,21
2,4,30
2,5,29
2,6,32
2,7,30
2,8,24
2,9,24
2,10,27
2,11,32
2,12,25
2,13,26
2,14,28
3,1,26
3,2,33
3,3,23
3,4,25
3,5,26
3,6,27
3,7,24
3,8,24
3,9,28
3,10,29
3,11,24
3,12,27
3,13,23
3,14,26
4,1,21
4,2,26
4,3,23
4,4,22
4,5,22
4,6,22
4,7,21
4,8,23
4,9,21
4,10,23
4,11,26
4,12,26
4,13,26
4,14,21
5,1,23
5,2,25
5,3,21
5,4,22
5,5,23
5,6,23
5,7,21
5,8,20
5,9,22
5,10,23
5,11,20
5,12,21
5,13,21
5,14,22
6,1,21
6,2,22
6,3,21
6,4,20
6,5,23
6,6,22
6,7,20
6,8,22
6,9,27
6,10,21
6,11,23
6,12,20
6,13,24
6,14,23
7,1,21
7,2,23
7,3,24
7,4,25
7,5,21
7,6,23
7,7,22
7,8,25
7,9,24
7,10,24
7,11,20
7,12,22
7,13,22
7,14,21
8,1,24
8,2,21
8,3,21
8,4,22
8,5,24
8,6,24
8,7,20
8,8,23
8,9,22
8,10,22
8,11,22
8,12,20
8,13,22
8,14,22
9,1,22
9,2,21
9,3,24
9,4,20
9,5,20
9,6,24
9,7,22
9,8,22
9,9,24
9,10,20
9,11,20
9,12,26
9,13,21
9,14,23
10,1,20
10,2,23
10,3,22
10,4,21
10,5,20
10,6,20
10,7,23
10,8,21
10,9,22
10,10,20
10,11,24
10,12,24
10,13,22
10,14,23
11,1,38
11,2,41
11,3,54
11,4,53
11,5,61
11,6,32
11,7,30
11,8,31
11,9,37
11,10,56
11,11,25
11,12,38
11,13,44
11,14,40
12,1,38
12,2,37
12,3,47
12,4,36
12,5,47
12,6,31
12,7,31
12,8,41
12,9,28
12,10,29
12,11,36
12,12,27
12,13,30
12,14,38
13,1,30
13,2,35
13,3,30
13,4,27
13,5,27
13,6,35
13,7,29
13,8,27
13,9,33
13,10,37
13,11,31
13,12,33
13,13,24
13,14,35
14,1,33
14,2,29
14,3,27
14,4,38
14,5,27
14,6,33
14,7,29
14,8,28
14,9,25
14,10,28
14,11,29
14,12,25
14,13,32
14,14,27
