1,1,34
1,2,28
1,3,26
1,4,34
1,5,37
1,6,34
1,7,24
1,8,27
1,9,35
1,10,27
1,11,31
1,12,30
1,13,27
1,14,28
2,1,30
2,2,26
2,3,31
2,4,33
2,5,29
2,6,26
2,7,25
2,8,31
2,9,29
2,10,27
2,11,27
2,12,26
2,13,24
2,14,31
3,1,26
3,2,25
3,3,28
3,4,26
3,5,30
3,6,26
3,7,24
3,8,31
3,9,25
3,10,23
3,11,30
3,12,24
3,13,22
3,14,29
4,1,34
4,2,32
4,3,25
4,4,23
4,5,32
4,6,25
4,7,26
4,8,28
4,9,26
4,10,24
4,11,30
4,12,27
4,13,23
4,14,23
5,1,27
5,2,29
5,3,26
5,4,23
5,5,24
5,6,28
5,7,29
5,8,24
5,9,21
5,10,25
5,11,21
5,12,25
5,13,25
5,14,22
6,1,24
6,2,24
6,3,22
6,4,24
6,5,22
6,6,27
6,7,26
6,8,22
6,9,29
6,10,22
6,11,24
6,12,23
6,13,21
6,14,21
7,1,21
7,2,22
7,3,24
7,4,28
7,5,24
7,6,21
7,7,25
7,8,23
7,9,24
7,10,23
7,11,21
7,12,28
7,13,25
7,14,21
8,1,25
8,2,22
8,3,23
8,4,23
8,5,22
8,6,22
8,7,21
8,8,24
8,9,24
8,10,26
8,11,21
8,12,22
8,13,21
8,14,22
9,1,20
9,2,22
9,3,21
9,4,21
9,5,25
9,6,26
9,7,21
9,8,22
9,9,22
9,10,21
9,11,21
9,12,21
9,13,24
9,14,21
10,1,22
10,2,26
10,3,23
10,4,22
10,5,21
10,6,22
10,7,22
10,8,25
10,9,20
10,10,22
10,11,21
10,12,24
10,13,21
10,14,23
11,1,46
11,2,41
11,3,40
11,4,52
11,5,50
11,6,37
11,7,50
11,8,38
11,9,51
11,10,41
11,11,40
11,12,41
11,13,38
11,14,53
12,1,41
12,2,49
12,3,42
12,4,33
12,5,41
12,6,40
12,7,48
12,8,41
12,9,36
12,10,39
12,11,43
12,12,42
12,13,43
12,14,38
13,1,39
13,2,43
13,3,39
13,4,28
13,5,58
13,6,40
13,7,46
13,8,48
13,9,44
13,10,42
13,11,33
13,12,50
13,13,31
13,14,34
14,1,35
14,2,36
14,3,34
14,4,33
14,5,45
14,6,32
14,7,35
14,8,32
14,9,35
14,10,28
14,11,29
14,12,36
14,13,36
14,14,33
